,loss,mae,mse,r2,val_loss,val_mae,val_mse,val_r2
116,18.575328826904297,2.7910823822021484,12.796018600463867,0.9639596939086914,71.69132995605469,4.7018537521362305,65.87699127197266,-52646700.0
117,17.655439376831055,2.6727874279022217,11.872314453125,0.9650619029998779,70.43185424804688,4.623993873596191,64.61730194091797,-51186724.0
118,18.048030853271484,2.650383949279785,12.265093803405762,0.965117335319519,71.1332015991211,4.652515411376953,65.32029724121094,-52169932.0
119,17.80494499206543,2.6767168045043945,12.026567459106445,0.9594539999961853,68.37251281738281,4.48321533203125,62.57418441772461,-37977700.0
120,17.350543975830078,2.6598451137542725,11.580623626708984,0.9686257243156433,67.19636535644531,4.412022590637207,61.40463638305664,-30157024.0
121,16.9163761138916,2.5302798748016357,11.148326873779297,0.963646650314331,66.55850982666016,4.377898216247559,60.76832580566406,-26996370.0
122,16.356943130493164,2.4995462894439697,10.592156410217285,0.9591472148895264,67.77792358398438,4.4665961265563965,61.987525939941406,-32115128.0
123,17.638734817504883,2.638369560241699,11.875012397766113,0.9600338339805603,68.22993469238281,4.524477481842041,62.43634033203125,-35582224.0
124,17.663719177246094,2.608591318130493,11.89678955078125,0.9599586129188538,68.88980102539062,4.587122917175293,63.0886116027832,-34067688.0
125,19.516122817993164,2.8489339351654053,13.743464469909668,0.9598410725593567,69.87140655517578,4.682192325592041,64.05818176269531,-36620540.0
126,18.582265853881836,2.7370805740356445,12.798436164855957,0.963912308216095,75.04292297363281,5.073736190795898,69.21649169921875,-55553152.0
127,20.04374885559082,3.01820707321167,14.257441520690918,0.959153413772583,71.9631576538086,4.8382086753845215,66.1385269165039,-47480980.0
128,18.569196701049805,2.8246002197265625,12.782299041748047,0.9636867046356201,70.39031982421875,4.705289840698242,64.56979370117188,-41319228.0
129,18.041038513183594,2.7600345611572266,12.256172180175781,0.9650940299034119,71.37322235107422,4.795411109924316,65.55180358886719,-40902768.0
130,18.79123306274414,2.8701770305633545,13.005744934082031,0.9579267501831055,72.42326354980469,4.906661033630371,66.59493255615234,-43991388.0
131,18.30901527404785,2.824718952178955,12.516735076904297,0.9673886895179749,68.98756408691406,4.680339813232422,63.16153335571289,-34004096.0
132,18.24049186706543,2.761955976486206,12.445536613464355,0.9575564861297607,66.90475463867188,4.546462535858154,61.08022689819336,-27428946.0
133,16.853483200073242,2.5713253021240234,11.058767318725586,0.9660641551017761,65.11625671386719,4.403682231903076,59.29690933227539,-17123112.0
134,16.117374420166016,2.4871363639831543,10.325713157653809,0.9647404551506042,64.54983520507812,4.340451240539551,58.73583221435547,-13501427.0
135,16.54841423034668,2.531625747680664,10.763616561889648,0.9665332436561584,66.96234893798828,4.529864311218262,61.148983001708984,-21526702.0
136,17.587129592895508,2.656991481781006,11.806986808776855,0.9638335704803467,68.59547424316406,4.6574296951293945,62.778926849365234,-31036576.0
137,17.601720809936523,2.694606065750122,11.820945739746094,0.9642982482910156,67.23001098632812,4.556515693664551,61.41386795043945,-28046030.0
138,17.00507354736328,2.5852580070495605,11.218674659729004,0.9736050367355347,67.54129791259766,4.595739841461182,61.717227935791016,-30366730.0
139,17.6767520904541,2.7085673809051514,11.881697654724121,0.9644415974617004,67.10353088378906,4.577489852905273,61.273719787597656,-28755440.0
140,17.509904861450195,2.708033323287964,11.713696479797363,0.9559128284454346,67.30145263671875,4.605209827423096,61.46989822387695,-32015822.0
141,17.240631103515625,2.670511245727539,11.440587043762207,0.9640242457389832,67.38343811035156,4.637887954711914,61.54823303222656,-27914346.0
142,17.122406005859375,2.642400026321411,11.322736740112305,0.9733708500862122,69.22926330566406,4.782932281494141,63.39567947387695,-30032186.0
143,17.72747230529785,2.679551362991333,11.927970886230469,0.9552434086799622,65.48247528076172,4.513331413269043,59.650150299072266,-17957866.0
144,17.2333984375,2.67677903175354,11.43095588684082,0.9663193225860596,69.3714599609375,4.8265700340271,63.5263786315918,-31411546.0
145,18.136125564575195,2.794049024581909,12.328449249267578,0.9627177715301514,67.65967559814453,4.6612229347229,61.81708908081055,-28257994.0
146,16.66305160522461,2.600893974304199,10.856908798217773,0.9672528505325317,66.97692108154297,4.605827808380127,61.137821197509766,-26555240.0
147,17.465269088745117,2.670620918273926,11.661139488220215,0.9637212753295898,66.08650207519531,4.541229724884033,60.25075912475586,-26741206.0
148,16.126726150512695,2.504866361618042,10.323373794555664,0.9684679508209229,65.39183807373047,4.533902645111084,59.55328369140625,-24419464.0
149,16.161930084228516,2.4823904037475586,10.353815078735352,0.9714530110359192,63.0584831237793,4.352277755737305,57.226951599121094,-17243298.0
150,15.107044219970703,2.3488504886627197,9.304232597351074,0.9678816199302673,60.44444274902344,4.1213154792785645,54.62346649169922,-8459410.0
151,14.861814498901367,2.2943315505981445,9.067438125610352,0.9674088358879089,60.34169006347656,4.076548099517822,54.530235290527344,-6566964.5
152,15.066556930541992,2.3442816734313965,9.280723571777344,0.9625774025917053,60.524906158447266,4.079710483551025,54.71894836425781,-6846790.0
153,16.545520782470703,2.5153915882110596,10.762955665588379,0.9687427878379822,61.391109466552734,4.198913097381592,55.576541900634766,-8820203.0
154,14.950045585632324,2.311528444290161,9.160611152648926,0.971394956111908,63.38656234741211,4.366635322570801,57.56398010253906,-14379348.0
155,16.202600479125977,2.4381542205810547,10.40868854522705,0.9662490487098694,63.35786437988281,4.350299835205078,57.531646728515625,-16078156.0
156,16.52295684814453,2.5398221015930176,10.725968360900879,0.9661536812782288,62.939002990722656,4.319534778594971,57.110843658447266,-13791689.0
157,15.340932846069336,2.389796257019043,9.544734954833984,0.9697794318199158,63.37922286987305,4.356015205383301,57.556522369384766,-14352344.0
158,15.682711601257324,2.418015241622925,9.892035484313965,0.9710211157798767,66.93501281738281,4.626826763153076,61.11146545410156,-26900234.0
159,16.59197425842285,2.6233463287353516,10.803126335144043,0.9631831645965576,64.66205596923828,4.446279048919678,58.839263916015625,-21908292.0
160,15.804965019226074,2.4945054054260254,10.013084411621094,0.9716553092002869,62.614112854003906,4.290089130401611,56.79127883911133,-15776139.0
161,15.967284202575684,2.4213051795959473,10.17334270477295,0.9701920747756958,63.26129150390625,4.369864463806152,57.43803405761719,-17298422.0
162,15.359838485717773,2.424968719482422,9.569487571716309,0.9664679765701294,60.872413635253906,4.174370765686035,55.05964660644531,-9740151.0
