股票代码,股票简称,截止日期,行业代码,上市日期,所属省份,上市状态,wufei,zhaochenyv,yuanchun,lishouxi,固定资产数字化,无形资产数字化,数字技术应用z,互联网商业模式z,智能制造z,现代信息系统z,csmar
000017,深中华A,2022,37.0,1992-03-31,广东省,正常上市,0.0,1.219022328260272,4.214914312181565,0.0,0.0,0.0,0.0,6.0,2.0,0.0,31.6555
000017,深中华A,2023,24.0,1992-03-31,广东省,正常上市,0.0,1.3949818179534115,3.1995661605206074,0.0,0.0,0.0,0.0,7.0,2.0,0.0,32.384
000023,深天地A,2014,30.0,1993-04-29,广东省,正常上市,0.0,0.42196876094667163,0.5442176870748299,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.1075
000023,深天地A,2015,30.0,1993-04-29,广东省,正常上市,0.0,0.31776309468621006,0.5376344086021506,-8.315871083870568e-06,0.0,0.0017153653016084315,0.0,0.0,0.0,3.0,27.6097
000023,深天地A,2016,30.0,1993-04-29,广东省,正常上市,0.0,0.42196876094667163,0.5753739930955121,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.9977
000023,深天地A,2017,30.0,1993-04-29,广东省,正常上市,0.0,0.42196876094667163,0.5379388448471121,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.6613
000023,深天地A,2018,30.0,1993-04-29,广东省,正常上市,0.0,0.42196876094667163,0.5941770647653001,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24.1843
000023,深天地A,2019,30.0,1993-04-29,广东省,正常上市,0.0,0.9594839216228772,1.1420413990007139,0.0,0.0,0.0,0.0,0.0,4.0,6.0,24.3294
000023,深天地A,2020,30.0,1993-04-29,广东省,正常上市,0.6931471805599453,2.120259041828303,2.076620121732904,0.1752990162955747,0.0,0.0,3.0,2.0,5.0,9.0,25.827
000023,深天地A,2021,30.0,1993-04-29,广东省,正常上市,0.0,1.7599419075774176,1.6874541452677916,-1.5534599198682583e-06,0.0,0.0003204416250691964,9.0,0.0,0.0,5.0,25.3434
000023,深天地A,2022,30.0,1993-04-29,广东省,正常上市,0.0,0.3166453722876925,1.0530749789385003,-1.0911045458733751e-06,0.0,0.00022506877025169907,0.0,0.0,0.0,3.0,23.7401
000023,ST 深天,2023,30.0,1993-04-29,广东省,正常上市,0.0,0.42208985858969933,2.202436738519213,-7.82754465990338e-07,0.0,0.00016146352403696802,0.0,0.0,0.0,4.0,23.6342
000030,富奥股份,2014,36.0,1993-09-29,吉林省,正常上市,0.0,0.08233692579048574,1.0069225928256766,-4.552027131651978e-06,0.0,0.0009389743196910641,0.0,0.0,1.0,0.0,36.0911
000030,富奥股份,2015,36.0,1993-09-29,吉林省,正常上市,0.0,0.0,0.6769825918762089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8272
000030,富奥股份,2016,36.0,1993-09-29,吉林省,正常上市,0.6931471805599453,0.08302691339007552,1.507537688442211,0.11222100972733585,0.0,0.0018589577858107804,0.0,0.0,1.0,0.0,42.3284
000030,富奥股份,2017,36.0,1993-09-29,吉林省,正常上市,1.791759469228055,0.4099189634657621,3.489771359807461,0.40619588156121966,0.0,0.002340650949566531,0.0,0.0,5.0,0.0,47.0381
000030,富奥股份,2018,36.0,1993-09-29,吉林省,正常上市,1.791759469228055,0.734694255456457,5.4858934169279,0.4062072287369674,0.0,0.0,0.0,0.0,9.0,0.0,43.2062
000030,富奥股份,2019,36.0,1993-09-29,吉林省,正常上市,1.3862943611198906,0.9218191407438423,5.062240663900415,0.3234975640994725,0.0,0.0,0.0,0.0,10.0,1.0,42.2642
000030,富奥股份,2020,36.0,1993-09-29,吉林省,正常上市,2.5649493574615367,1.7747363256435003,5.591677503250976,0.6583712445412895,0.0,0.0,7.0,0.0,10.0,0.0,51.3215
000030,富奥股份,2021,36.0,1993-09-29,吉林省,正常上市,3.367295829986474,4.465293196046273,8.3154736390913,1.3460220452412992,0.0,0.0,20.0,1.0,19.0,0.0,56.7358
000030,富奥股份,2022,36.0,1993-09-29,吉林省,正常上市,3.091042453358316,2.586082736358656,6.732844195079844,0.8351510144576297,0.0,0.0,9.0,0.0,14.0,2.0,49.4689
000030,富奥股份,2023,36.0,1993-09-29,吉林省,正常上市,3.295836866004329,3.768114101266022,7.879333633498424,1.083779656708507,0.0,0.0,19.0,0.0,13.0,1.0,45.3122
000039,中集集团,2014,33.0,1994-03-23,广东省,正常上市,0.0,0.6769210555916899,0.8483343678874405,0.0,0.0,0.0,0.0,0.0,7.0,1.0,38.2172
000039,中集集团,2015,33.0,1994-03-23,广东省,正常上市,0.0,0.16326539010143487,0.8519269776876268,0.0,0.0,0.0,0.0,0.0,2.0,0.0,47.3417
000039,中集集团,2016,33.0,1994-03-23,广东省,正常上市,0.0,0.16326539010143487,0.9033778476040848,0.0,0.0,0.0,0.0,0.0,2.0,0.0,42.631
000039,中集集团,2017,33.0,1994-03-23,广东省,正常上市,0.6931471805599453,1.2778502239324183,1.0959939531368101,0.13981069269174987,0.0,0.0,3.0,4.0,2.0,0.0,51.5843
000039,中集集团,2018,33.0,1994-03-23,广东省,正常上市,1.6094379124341003,1.5375151606762054,1.7373175816539264,0.5279663687955811,0.0,0.0,2.0,2.0,6.0,4.0,57.3465
000039,中集集团,2019,33.0,1994-03-23,广东省,正常上市,1.6094379124341003,1.4081634752535872,2.0558572536850273,0.5279663687955811,0.0,0.0,2.0,2.0,7.0,2.0,54.231
000039,中集集团,2020,33.0,1994-03-23,广东省,正常上市,1.791759469228055,2.310235224613776,3.055656602400873,0.5003856978202068,0.0,0.0,5.0,4.0,10.0,1.0,41.8425
000039,中集集团,2021,33.0,1994-03-23,广东省,正常上市,0.0,0.24668044721666316,0.7501172058134083,-2.761756269578642e-05,0.0,0.005696842614026842,1.0,0.0,0.0,1.0,56.9469
000039,中集集团,2022,33.0,1994-03-23,广东省,正常上市,1.6094379124341003,2.7092495659790474,2.7777777777777777,0.4585747468038588,0.0,0.0,7.0,1.0,18.0,1.0,57.7511
000039,中集集团,2023,33.0,1994-03-23,广东省,正常上市,2.9444389791664403,9.730748112049177,3.206202849958089,1.1592649231957717,0.0,0.004798599691686429,26.0,7.0,54.0,5.0,36.647
000049,德赛电池,2014,38.0,1995-03-20,广东省,正常上市,0.0,0.45596706058782976,2.7349768875192604,-5.468073772340269e-07,0.0,0.00011279328312220393,0.0,0.0,3.0,2.0,46.6946
000049,德赛电池,2015,38.0,1995-03-20,广东省,正常上市,1.0986122886681098,0.5428760852697508,3.193916349809886,0.24253663111340745,0.0,0.0003830065235970643,2.0,0.0,2.0,1.0,48.2051
000049,德赛电池,2016,38.0,1995-03-20,广东省,正常上市,1.3862943611198906,0.7573926212171206,4.576659038901601,0.32348897276265226,0.0,0.001772187294296603,1.0,0.0,5.0,2.0,47.2483
000049,德赛电池,2017,38.0,1995-03-20,广东省,正常上市,1.791759469228055,0.4089649339232426,4.716981132075472,0.4062020482451156,0.0,0.0010686115595405726,0.0,0.0,5.0,0.0,49.9846
000049,德赛电池,2018,38.0,1995-03-20,广东省,正常上市,2.0794415416798357,0.7088877396355137,6.695938529088913,0.6311950045297823,0.0,0.0007243323480220972,1.0,0.0,7.0,0.0,51.7826
000049,德赛电池,2019,38.0,1995-03-20,广东省,正常上市,2.4849066497880004,1.2827454734881376,6.704438149197356,0.8455360431075071,0.0,0.0005182906050404004,4.0,0.0,9.0,0.0,53.1442
000049,德赛电池,2020,38.0,1995-03-20,广东省,正常上市,2.6390573296152584,1.638173678733105,7.481751824817519,1.0008038465634606,0.0,0.00047063747877300837,6.0,0.0,10.0,0.0,38.5676
000049,德赛电池,2021,38.0,1995-03-20,广东省,正常上市,2.995732273553991,2.6897593782182683,8.0,1.1711959648207828,0.0,0.0008996286919377889,10.0,0.0,11.0,4.0,55.1515
000049,德赛电池,2022,38.0,1995-03-20,广东省,正常上市,3.295836866004329,3.4244793023919655,7.1520618556701026,0.9707251437501162,0.0,0.000933853648258196,10.0,0.0,20.0,4.0,52.2886
000049,德赛电池,2023,38.0,1995-03-20,广东省,正常上市,2.70805020110221,2.0430988425722005,5.796610169491526,0.6854060457258152,0.0,0.0027936086488086673,8.0,0.0,9.0,2.0,52.1799
000055,方大集团,2014,33.0,1995-11-29,广东省,正常上市,0.6931471805599453,0.7600824546398662,0.9820521503555706,0.11223002171637554,0.0,0.0,0.0,2.0,5.0,0.0,25.1525
000055,方大集团,2015,33.0,1995-11-29,广东省,正常上市,0.0,0.26929845781674133,1.4245014245014245,-3.496139572766201e-06,0.0,0.0007211699715181165,0.0,0.0,2.0,1.0,27.275
000055,方大集团,2016,33.0,1995-11-29,广东省,正常上市,0.0,0.21884265081680881,1.0492332526230832,-1.9025036378237723e-06,0.0,0.0003924409954883215,1.0,0.0,1.0,0.0,24.9029
000055,方大集团,2017,33.0,1995-11-29,广东省,正常上市,1.0986122886681098,0.4876385293402996,1.525297619047619,0.285425730859084,0.0,0.00044350524267233797,1.0,0.0,3.0,1.0,32.6879
000055,方大集团,2018,33.0,1995-11-29,广东省,正常上市,0.0,0.619332213284297,1.8981481481481481,-1.1916557396621837e-06,0.0,0.0002458100764986385,0.0,0.0,5.0,2.0,32.1294
